iter	Passed	Remaining
978	25900	555
979	25919	528
980	25940	502
981	25958	475
982	25982	449
983	26010	422
984	26044	396
985	26065	370
986	26088	343
987	26116	317
988	26140	290
989	26161	264
990	26181	237
991	26201	211
992	26220	184
993	26246	158
994	26268	132
995	26286	105
996	26305	79
997	26324	52
998	26346	26
999	26369	0
